"SKName","tDate","Institute","交易類別","金額"
"臺指選擇權CALL","2015-01-19","投信","賣","800.0"
"臺指選擇權CALL","2015-01-19","自營商","賣","119373.0"
"臺指選擇權CALL","2015-01-20","外資及陸資","賣","42358.0"
"臺指選擇權CALL","2015-01-20","投信","賣","800.0"
"臺指選擇權CALL","2015-01-20","自營商","賣","110134.0"
"臺指選擇權CALL","2015-01-21","外資及陸資","賣","25123.0"
"臺指選擇權CALL","2015-01-21","投信","賣","800.0"
"臺指選擇權CALL","2015-01-21","自營商","賣","43293.0"
"臺指選擇權CALL","2015-01-22","外資及陸資","賣","26351.0"
"臺指選擇權CALL","2015-01-22","投信","賣","800.0"
"臺指選擇權CALL","2015-01-22","自營商","賣","53896.0"
"臺指選擇權CALL","2015-01-23","外資及陸資","賣","30674.0"
"臺指選擇權CALL","2015-01-23","投信","賣","800.0"
"臺指選擇權CALL","2015-01-23","自營商","賣","58124.0"
"臺指選擇權CALL","2015-01-26","外資及陸資","賣","31530.0"
"臺指選擇權CALL","2015-01-26","投信","賣","800.0"
"臺指選擇權CALL","2015-01-26","自營商","賣","68236.0"
"臺指選擇權PUT","2015-01-14","外資及陸資","買","195660.0"
"臺指選擇權PUT","2015-01-14","投信","買","409.0"
"臺指選擇權PUT","2015-01-14","自營商","買","142126.0"
"臺指選擇權PUT","2015-01-15","外資及陸資","買","199203.0"
"臺指選擇權PUT","2015-01-15","投信","買","409.0"
"臺指選擇權PUT","2015-01-15","自營商","買","167568.0"
"臺指選擇權PUT","2015-01-16","外資及陸資","買","208210.0"
"臺指選擇權PUT","2015-01-16","投信","買","409.0"
"臺指選擇權PUT","2015-01-16","自營商","買","179348.0"
"臺指選擇權PUT","2015-01-19","外資及陸資","買","211696.0"
"臺指選擇權PUT","2015-01-19","投信","買","409.0"
"臺指選擇權PUT","2015-01-19","自營商","買","176265.0"
"臺指選擇權PUT","2015-01-20","外資及陸資","買","216179.0"
"臺指選擇權PUT","2015-01-20","投信","買","409.0"
"臺指選擇權PUT","2015-01-20","自營商","買","165619.0"
"臺指選擇權PUT","2015-01-21","外資及陸資","買","105909.0"
"臺指選擇權PUT","2015-01-21","投信","買","400.0"
"臺指選擇權PUT","2015-01-21","自營商","買","69156.0"
"臺指選擇權PUT","2015-01-22","外資及陸資","買","120320.0"
"臺指選擇權PUT","2015-01-22","投信","買","400.0"
"臺指選擇權PUT","2015-01-22","自營商","買","94392.0"
"臺指選擇權PUT","2015-01-23","外資及陸資","買","131332.0"
"臺指選擇權PUT","2015-01-23","投信","買","400.0"
"臺指選擇權PUT","2015-01-23","自營商","買","102036.0"
